timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727095702756,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095703763,34785,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095703763,9974,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095703763,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095704770,33942,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095704770,28178,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095704770,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095705781,34015,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095705781,11862,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095705781,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095706789,34053,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095706789,9375,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095706789,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095707798,34054,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095707798,7656,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095707798,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095708801,34110,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095708801,7013,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095708801,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095709810,34128,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095709810,6283,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095709810,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095710820,34108,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095710820,6414,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095710820,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095711832,34142,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095711832,7395,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095711832,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095712842,34144,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095712842,5353,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095712842,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095713849,34173,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095713849,4416,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095713849,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095714864,34160,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095714864,5489,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095714864,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095715876,34183,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095715876,4509,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095715876,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095716882,34149,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095716882,3887,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095716882,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095717892,34186,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095717892,4720,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095717892,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095718903,34132,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095718903,4736,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095718903,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095719917,34164,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095719917,3634,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727095719917,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727095720931,34143,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727095720931,3745,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
